name,team,minutes_any,minutes_60,goals,assists,id_2026
Abdoulaye Kamara,Portsmouth,5,0,0,0,NA
Abu Kamara,Norwich City,2,0,0,0,NA
Abu Kamara,Hull City,36,25,5,3,NA
Thomas Kaminski,Luton Town,45,45,0,1,NA
Wilfried Kanga,Cardiff City,15,5,0,0,NA
Augustus Kargbo,Blackburn,8,2,0,1,NA
Nikola Katić,Plymouth Argyle,15,14,1,0,NA
Edo Kayembe,Watford,44,37,8,1,NA
Will Keane,Preston,27,13,3,0,NA
Kévin Keben Biakolo,Watford,6,3,0,0,NA
Daniel Kelly,Millwall,2,0,0,0,NA
Kaine Kesler-Hayden,Preston,44,41,2,3,NA
Josh Key,Swansea City,45,39,1,3,NA
Ben Killip,Portsmouth,2,2,0,0,NA
Peter Kioso,Oxford United,30,26,0,1,NA
Liam Kitching,Coventry City,27,26,0,1,NA
Jason Knight,Bristol City,46,46,3,6,NA
Olaf Kobacki,Sheffield Weds,12,4,0,0,NA
Luca Koleosho,Burnley,28,20,2,0,208
Rayan Kolli,QPR,20,9,4,2,NA
Lewis Koumas,Stoke City,43,26,3,2,NA
Ronan Kpakio,Cardiff City,3,1,0,1,NA
Tom Krauß,Luton Town,23,20,2,4,NA
Paddy Lane,Portsmouth,22,13,1,1,NA
Callum Lang,Portsmouth,32,28,10,2,NA
Sondre Langås,Derby County,14,13,0,0,NA
Macaulay Langstaff,Millwall,34,14,1,2,NA
Will Lankshear,West Brom,11,4,0,0,598
Yasser Larouci,Watford,39,26,0,3,NA
Joël Latibeaudière,Coventry City,33,29,0,0,NA
Emmanuel Latte Lath,Middlesbrough,29,20,11,3,NA
Josh Laurent,Stoke City,3,3,0,0,209
Josh Laurent,Burnley,42,25,2,2,209
Mohammed Lawal,Stoke City,7,1,0,0,NA
Dylan Lawlor,Cardiff City,1,0,0,0,NA
Enzo Le Fée,Sunderland,15,11,1,1,547
Tom Leahy,Millwall,1,0,0,0,NA
Ryan Ledson,Preston,26,14,1,1,NA
Greg Leigh,Oxford United,34,24,6,1,NA
Harry Leonard,Blackburn,9,0,1,0,NA
Ryan Leonard,Millwall,33,29,0,1,NA
Lincoln,Hull City,11,4,0,1,NA
Liam Lindsay,Preston,35,29,1,1,NA
