name,id_2025,GW,kickoff_time,goals_scored,assists,minutes,team,id_2026
Luke Harris,246,6,2024-09-28T14:00:00Z,0,0,0,Fulham,334
Youri Tielemans,57,6,2024-09-29T13:00:00Z,0,0,83,Aston Villa,48
João Neves Virgínia,227,6,2024-09-28T14:00:00Z,0,0,0,Everton,NA
Oleksandr Zinchenko,25,6,2024-09-28T14:00:00Z,0,0,0,Arsenal,12
Francisco Jorge Tomás Oliveira,537,6,2024-09-28T16:30:00Z,0,0,0,Wolves,NA
Ederson Santana de Moraes,347,6,2024-09-28T11:30:00Z,0,0,90,Man City,399
Andrew Omobamidele,440,6,2024-09-28T14:00:00Z,0,0,0,Nott'm Forest,NA
Norberto Bercique Gomes Betuncal,218,6,2024-09-28T14:00:00Z,0,0,0,Everton,311
Diogo Dalot Teixeira,369,6,2024-09-29T15:30:00Z,0,0,90,Man Utd,440
Pape Matar Sarr,499,6,2024-09-29T15:30:00Z,0,1,13,Spurs,593
Danny Welbeck,148,6,2024-09-28T14:00:00Z,0,0,80,Brighton,178
Yankuba Minteh,135,6,2024-09-28T14:00:00Z,0,0,19,Brighton,160
Nathan Aké,341,6,2024-09-28T11:30:00Z,0,0,0,Man City,405
Bernd Leno,248,6,2024-09-28T14:00:00Z,0,0,90,Fulham,314
Jamaal Lascelles,407,6,2024-09-28T11:30:00Z,0,0,0,Newcastle,480
Axel Disasi,167,6,2024-09-28T14:00:00Z,0,0,0,Chelsea,NA
Ismeal Kabia,659,6,2024-09-28T14:00:00Z,0,0,0,Arsenal,28
Kevin Schade,106,6,2024-09-28T14:00:00Z,0,0,59,Brentford,120
Victor Kristiansen,296,6,2024-09-28T14:00:00Z,0,0,90,Leicester,NA
Kyle Walker-Peters,476,6,2024-09-30T19:00:00Z,0,0,0,Southampton,659
Daniel Bentley,536,6,2024-09-28T16:30:00Z,0,0,0,Wolves,629
Ivan Toney,108,6,2024-09-28T14:00:00Z,0,0,0,Brentford,NA
Carlos Soler,654,6,2024-09-28T14:00:00Z,0,0,45,West Ham,NA
Antonee Robinson,255,6,2024-09-28T14:00:00Z,0,0,90,Fulham,316
Romain Faivre,66,6,2024-09-30T19:00:00Z,0,0,0,Bournemouth,92
James Ward-Prowse,531,6,2024-09-28T14:00:00Z,0,0,74,Nott'm Forest,614
Patson Daka,289,6,2024-09-28T14:00:00Z,0,0,0,Leicester,NA
Illia Zabarnyi,85,6,2024-09-30T19:00:00Z,0,0,90,Bournemouth,71
Gavin Bazunu,454,6,2024-09-30T19:00:00Z,0,0,0,Southampton,NA
Sven Botman,393,6,2024-09-28T11:30:00Z,0,0,0,Newcastle,475
Hugo Bueno López,549,6,2024-09-28T16:30:00Z,0,0,0,Wolves,633
Danny Ward,308,6,2024-09-28T14:00:00Z,0,0,0,Leicester,NA
Samuel Amo-Ameyaw,451,6,2024-09-30T19:00:00Z,0,0,0,Southampton,NA
Joe Gauci,39,6,2024-09-29T13:00:00Z,0,0,0,Aston Villa,34
João Pedro Junqueira de Jesus,129,6,2024-09-28T14:00:00Z,0,0,0,Brighton,249
Justin Kluivert,71,6,2024-09-30T19:00:00Z,0,0,29,Bournemouth,81
Martin Dúbravka,396,6,2024-09-28T11:30:00Z,0,0,0,Newcastle,470
Flynn Downes,518,6,2024-09-30T19:00:00Z,0,0,90,Southampton,NA
Alejandro Garnacho,372,6,2024-09-29T15:30:00Z,0,0,90,Man Utd,453
Ronnie Edwards,460,6,2024-09-30T19:00:00Z,0,0,0,Southampton,NA
Edson Álvarez Velázquez,511,6,2024-09-28T14:00:00Z,0,0,0,West Ham,616
Jack Grealish,349,6,2024-09-28T11:30:00Z,0,1,80,Man City,419
Marcus Myers-Harness,271,6,2024-09-29T13:00:00Z,0,0,0,Ipswich,NA
Jack Taylor,281,6,2024-09-29T13:00:00Z,0,0,21,Ipswich,NA
Simon Adingra,113,6,2024-09-28T14:00:00Z,0,0,0,Brighton,543
Ben Mee,100,6,2024-09-28T14:00:00Z,0,0,0,Brentford,NA
Leon Chiwome,539,6,2024-09-28T16:30:00Z,0,0,0,Wolves,657
Eric da Silva Moreira,428,6,2024-09-28T14:00:00Z,0,0,0,Nott'm Forest,523
Luis Guilherme Lira dos Santos,526,6,2024-09-28T14:00:00Z,0,0,0,West Ham,619
Joe Hodge,551,6,2024-09-28T16:30:00Z,0,0,0,Wolves,653
Chiedozie Ogbene,632,6,2024-09-29T13:00:00Z,0,0,68,Ipswich,NA
Harrison Armstrong,603,6,2024-09-28T14:00:00Z,0,0,0,Everton,305
Carney Chukwuemeka,161,6,2024-09-28T14:00:00Z,0,0,0,Chelsea,NA
Tom King,556,6,2024-09-28T16:30:00Z,0,0,0,Wolves,630
Wout Faes,291,6,2024-09-28T14:00:00Z,0,0,90,Leicester,NA
Leny Yoro,572,6,2024-09-29T15:30:00Z,0,0,0,Man Utd,444
Pedro Lomba Neto,560,6,2024-09-28T14:00:00Z,0,0,27,Chelsea,236
Ian Maatsen,45,6,2024-09-29T13:00:00Z,0,0,6,Aston Villa,39
Harry Winks,309,6,2024-09-28T14:00:00Z,0,0,90,Leicester,NA
Mads Roerslev Rasmussen,105,6,2024-09-28T14:00:00Z,0,0,0,Brentford,112
Jurriën Timber,6,6,2024-09-28T14:00:00Z,0,1,90,Arsenal,8
Saša Kalajdžić,555,6,2024-09-28T16:30:00Z,0,0,0,Wolves,656
Anthony Elanga,432,6,2024-09-28T14:00:00Z,0,0,45,Nott'm Forest,486
Julio Enciso,121,6,2024-09-28T14:00:00Z,0,0,19,Brighton,161
Naouirou Ahamada,190,6,2024-09-28T14:00:00Z,0,0,0,Crystal Palace,275
Jeremy Sarmiento Morante,141,6,2024-09-28T14:00:00Z,0,0,0,Brighton,171
Ayden Heaven,658,6,2024-09-28T14:00:00Z,0,0,0,Arsenal,447
